problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,5519470499984739720,0,2621,250006419,2916,17546
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,-570648509535936272,0,2619,250006735,2914,17548
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,-5814032274792701469,0,2621,250001871,2916,17546
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,-8983376925120995702,0,2619,250006469,2914,17548
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,8884255227086587874,0,2616,250006627,2911,17551
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,6035094637740532013,0,2601,250008905,2897,17565
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,2039311718359419500,0,2596,250006604,2892,17570
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,8161660533384016080,0,2600,250001862,2896,17566
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,8392724219225223442,0,2596,250006622,2892,17570
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,-3577649692547979120,0,2597,250002208,2893,17569
