problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,MAS_noRidesharing_interval_aFilter=20_bFilter=5,5519470499984739720,0,3429,250009071,3990,16161
DEFAULT,,MAS_noRidesharing_interval_aFilter=20_bFilter=5,-570648509535936272,0,3423,250005033,3984,16167
DEFAULT,,MAS_noRidesharing_interval_aFilter=20_bFilter=5,-5814032274792701469,0,3423,250005172,3984,16167
DEFAULT,,MAS_noRidesharing_interval_aFilter=20_bFilter=5,-8983376925120995702,0,3423,250008565,3984,16167
DEFAULT,,MAS_noRidesharing_interval_aFilter=20_bFilter=5,8884255227086587874,0,3425,250009960,3986,16165
DEFAULT,,MAS_noRidesharing_interval_aFilter=20_bFilter=5,6035094637740532013,0,3427,250005290,3988,16163
DEFAULT,,MAS_noRidesharing_interval_aFilter=20_bFilter=5,2039311718359419500,0,3444,250008727,4004,16147
DEFAULT,,MAS_noRidesharing_interval_aFilter=20_bFilter=5,8161660533384016080,0,3422,250005006,3983,16168
DEFAULT,,MAS_noRidesharing_interval_aFilter=20_bFilter=5,8392724219225223442,0,3424,250020187,3985,16166
DEFAULT,,MAS_noRidesharing_interval_aFilter=20_bFilter=5,-3577649692547979120,0,3424,250005624,3985,16166
