problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=20_bFilter=5,5519470499984739720,0,2630,250005278,2925,17537
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=20_bFilter=5,-570648509535936272,0,2633,250001184,2928,17534
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=20_bFilter=5,-5814032274792701469,0,2629,250002993,2924,17538
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=20_bFilter=5,-8983376925120995702,0,2634,250006172,2928,18452
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=20_bFilter=5,8884255227086587874,0,2600,250001809,2896,17566
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=20_bFilter=5,6035094637740532013,0,2594,250001830,2890,17572
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=20_bFilter=5,2039311718359419500,0,2596,250001856,2892,17570
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=20_bFilter=5,8161660533384016080,0,2596,250011192,2892,17570
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=20_bFilter=5,8392724219225223442,0,2596,250001526,2892,17570
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=20_bFilter=5,-3577649692547979120,0,2606,250006375,2902,17560
