cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_accepted_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions,pickup_tardiness,delivery_tardiness,travel_distance,moved_vehicles,num_delivered_orders
8663.9875333333,8232.7039166667,431.2836166667,0,true,DEFAULT-,5.51947049998474E+018,0,3621670,313,560,560,0,0,0,215.6415,215.6421166667,2270.2230775613,305,560
8686.0979833333,8212.1018,460.1503666667,13.8458166667,true,DEFAULT-,-5.70648509535936E+017,0,3635126,313,560,560,0,0,0,230.0747333333,230.0756333333,2272.5039196522,304,560
8850.59085,8301.01025,549.4223,0.1583,true,DEFAULT-,-5.8140322747927E+018,0,3595327,313,560,560,0,0,0,274.7107,274.7116,2286.1696598754,304,560
8715.1664666667,8328.16895,386.9975166667,0,true,DEFAULT-,5.51947049998474E+018,0,3550202,312,559,559,0,0,0,193.4984666667,193.49905,2320.1362593474,309,559
8670.09505,8344.7804333333,325.3146166667,0,true,DEFAULT-,-5.70648509535936E+017,0,3622961,312,559,559,0,0,0,162.65695,162.6576666667,2324.1850253627,308,559
8677.3185166667,8333.557,343.7615166667,0,true,DEFAULT-,-5.8140322747927E+018,0,3623500,312,559,559,0,0,0,171.8802333333,171.8812833333,2326.486044435,311,559
8916.311,8458.8991333333,457.4118666667,0,true,DEFAULT-,5.51947049998474E+018,0,3597027,312,559,559,0,0,0,228.7054666667,228.7064,2355.5891722578,307,559
8880.2838166667,8438.99,441.2938166667,0,true,DEFAULT-,-5.70648509535936E+017,0,3612352,312,559,559,0,0,0,220.64635,220.6474666667,2351.5122819741,306,559
8896.6996,8447.2828833333,449.4167166667,0,true,DEFAULT-,-5.8140322747927E+018,0,3627047,312,559,559,0,0,0,224.7077833333,224.7089333333,2348.8821685644,304,559
,,,,,,,,,,,,,,,,,,,
8772.9500907407,8344.1660407407,427.228037037,1.556012963,0,0,-2.88403428114633E+017,0,3609468,312.3333333333,559.3333333333,559.3333333333,0,0,0,213.6135759259,213.6144611111,2317.2986232256,306.4444444444,559.3333333333
