cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_accepted_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions,pickup_tardiness,delivery_tardiness,travel_distance,moved_vehicles,num_delivered_orders
17059.0264666667,16364.5081666667,694.5183,0,true,DEFAULT-,5.51947049998474E+018,0,3879253,626,1120,1120,0,0,0,347.25845,347.25985,4525.3061022412,611,1120
17057.1904666667,16318.38285,732.10765,6.6999666667,true,DEFAULT-,-5.8140322747927E+018,0,3812916,626,1120,1120,0,0,0,366.0532833333,366.0543666667,4517.2810083078,612,1120
17130.4977666667,16442.65125,687.8465166667,0,true,DEFAULT-,5.51947049998474E+018,0,3967406,625,1119,1119,0,0,0,343.9222166667,343.9243,4608.1046180295,617,1119
17379.1829666667,16553.3217333333,825.8612333333,0,true,DEFAULT-,-5.70648509535936E+017,0,3850243,625,1119,1119,0,0,0,412.9293333333,412.9319,4634.4968939031,619,1119
17128.8799833333,16439.5261166667,678.5539,10.7999666667,true,DEFAULT-,-5.8140322747927E+018,0,3983118,625,1119,1119,0,0,0,339.2761833333,339.2777166667,4598.9418513495,616,1119
17197.7254333333,16544.3916166667,653.3338166667,0,true,DEFAULT-,5.51947049998474E+018,0,3840213,625,1119,1119,0,0,0,326.6659,326.6679166667,4626.0539227348,613,1119
17514.0169333333,16692.8412833333,819.8298333333,1.3458166667,true,DEFAULT-,-5.70648509535936E+017,0,4046691,625,1119,1119,0,0,0,409.9140333333,409.9158,4656.6494678669,615,1119
17560.4097333333,16742.9686666667,810.8535833333,6.5874833333,true,DEFAULT-,-5.8140322747927E+018,0,3857428,625,1119,1119,0,0,0,405.42585,405.4277333333,4668.0430406784,616,1119
16962.62445,16301.4977333333,661.1267166667,0,true,DEFAULT-,-5.70648509535936E+017,0,3840275,626,1120,1120,0,0,0,330.5627,330.5640166667,4502.9439772861,610,1120
,,,,,,,,,,,,,,,,,,,
17221.0615777778,16488.8988240741,729.3368388889,2.8259148148,0,0,-2.88403428114633E+017,0,3897504.77777778,625.3333333333,1119.3333333333,1119.3333333333,0,0,0,364.66755,364.6692888889,4593.0912091553,614.3333333333,1119.3333333333
