cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_accepted_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions,pickup_tardiness,delivery_tardiness,travel_distance,moved_vehicles,num_delivered_orders
35959.5754,34702.9822166667,1224.8432666667,31.7499166667,true,DEFAULT-,5.51947049998474E+018,0,4138388,1251,2240,2240,0,0,0,612.4206666667,612.4226,9643.8382591059,1232,2240
35772.0825166667,34616.7724166667,1155.25595,0.05415,true,DEFAULT-,-5.70648509535936E+017,0,4514375,1251,2240,2240,0,0,0,577.6268666667,577.6290833333,9611.8263126163,1232,2240
35779.1173333333,34645.9055,1129.31185,3.8999833333,true,DEFAULT-,-5.8140322747927E+018,0,4340021,1251,2240,2240,0,0,0,564.65465,564.6572,9632.8280509289,1235,2240
35767.5805666667,34790.8995166667,976.3685666667,0.3124833333,true,DEFAULT-,5.51947049998474E+018,0,4433232,1251,2239,2239,0,0,0,488.1831,488.1854666667,9623.3205155072,1250,2239
35836.27935,34885.0033166667,950.5927166667,0.6833166667,true,DEFAULT-,-5.70648509535936E+017,0,4490037,1251,2239,2239,0,0,0,475.2950333333,475.2976833333,9645.1203528166,1249,2239
35795.8850166667,34766.9618666667,1010.7606666667,18.1624833333,true,DEFAULT-,-5.8140322747927E+018,0,4539646,1251,2239,2239,0,0,0,505.3789,505.3817666667,9618.645638754,1250,2239
36416.6238,35286.1548333333,1126.48565,3.9833166667,true,DEFAULT-,5.51947049998474E+018,0,4589017,1251,2239,2239,0,0,0,563.2416333333,563.2440166667,9896.7437205591,1236,2239
36770.9122333333,35515.4910833333,1254.1461833333,1.2749666667,true,DEFAULT-,-5.70648509535936E+017,0,4434746,1251,2239,2239,0,0,0,627.07185,627.0743333333,9925.2457457723,1234,2239
36429.9946666667,35272.3924666667,1153.0106,4.5916,true,DEFAULT-,-5.8140322747927E+018,0,4152269,1251,2239,2239,0,0,0,576.5037,576.5069,9881.8147123647,1236,2239
,,,,,,,,,,,,,,,,,,,
36058.6723203704,34942.5070240741,1108.97505,7.1902462963,0,0,-2.88403428114633E+017,0,4403525.66666667,1251,2239.3333333333,2239.3333333333,0,0,0,554.4862666667,554.4887833333,9719.9314787139,1239.3333333333,2239.3333333333
