cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_accepted_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions,pickup_tardiness,delivery_tardiness,travel_distance,moved_vehicles,num_delivered_orders
17204.9340166667,15856.7052833333,1323.1579333333,25.0708,true,DEFAULT-,5.51947049998474E+018,0,3706041,626,1120,1120,0,0,0,661.5778166667,661.5801166667,4399.049044786,612,1120
17081.3576833333,15817.9978,1263.3598833333,0,true,DEFAULT-,-5.70648509535936E+017,0,3789069,626,1120,1120,0,0,0,631.67875,631.6811333333,4392.187597481,610,1120
17364.2717833333,15924.1714333333,1440.10035,0,true,DEFAULT-,-5.8140322747927E+018,0,3957295,626,1120,1120,0,0,0,720.0488333333,720.0515166667,4417.8730026109,612,1120
17452.0388,15991.50115,1460.3251666667,0.2124833333,true,DEFAULT-,5.51947049998474E+018,0,3916287,625,1119,1119,0,0,0,730.1608166667,730.16435,4485.1186006556,620,1119
17749.42325,16106.7411166667,1642.6821333333,0,true,DEFAULT-,-5.70648509535936E+017,0,3858282,625,1119,1119,0,0,0,821.3394666667,821.3426666667,4520.0017553852,617,1119
17187.835,15921.4521833333,1244.53285,21.8499666667,true,DEFAULT-,-5.8140322747927E+018,0,3920987,625,1119,1119,0,0,0,622.26545,622.2674,4475.1154930314,615,1119
17444.0266,16133.3591666667,1309.2966166667,1.3708166667,true,DEFAULT-,5.51947049998474E+018,0,3923374,625,1119,1119,0,0,0,654.64685,654.6497666667,4518.5466500165,609,1119
17657.1006,16222.2824166667,1434.8181833333,0,true,DEFAULT-,-5.70648509535936E+017,0,3827624,625,1119,1119,0,0,0,717.4075666667,717.4106166667,4535.9387914573,614,1119
17517.5031833333,16162.04365,1355.4595333333,0,true,DEFAULT-,-5.8140322747927E+018,0,3864930,625,1119,1119,0,0,0,677.72785,677.7316833333,4523.8954407319,610,1119
,,,,,,,,,,,,,,,,,,,
17406.4989907407,16015.1393555556,1385.9702944445,5.3893407407,0,0,-2.88403428114633E+017,0,3862654.33333333,625.3333333333,1119.3333333333,1119.3333333333,0,0,0,692.9837111111,692.9865833333,4474.1918195729,613.2222222222,1119.3333333333
