cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_accepted_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions,pickup_tardiness,delivery_tardiness,travel_distance,moved_vehicles,num_delivered_orders
7628.0727,7596.9228833333,24.7831666667,6.36665,true,DEFAULT-,5.51947049998474E+018,0,677203,313,560,560,6,1,0,12.3915666667,12.3916,2116.7814135017,282,560
7631.2912333333,7597.9441666667,26.9804166667,6.36665,true,DEFAULT-,-5.70648509535936E+017,0,678144,313,560,560,7,1,0,13.4901833333,13.4902333333,2116.6370745019,279,560
7628.0727,7596.9228833333,24.7831666667,6.36665,true,DEFAULT-,-5.8140322747927E+018,0,675975,313,560,560,6,1,0,12.3915666667,12.3916,2116.7814135017,281,560
7748.7016333333,7685.89645,62.8051833333,0,true,DEFAULT-,5.51947049998474E+018,0,690316,312,559,559,5,1,0,31.4025833333,31.4026,2162.8065780013,277,559
7753.0964166667,7690.2912333333,62.8051833333,0,true,DEFAULT-,-5.70648509535936E+017,0,691671,312,559,559,6,1,0,31.4025833333,31.4026,2163.9285910013,278,559
7753.0964166667,7690.2912333333,62.8051833333,0,true,DEFAULT-,-5.8140322747927E+018,0,690955,312,559,559,6,1,0,31.4025833333,31.4026,2163.9285910013,277,559
7844.3235333333,7836.9127333333,0.7524833333,6.6583166667,true,DEFAULT-,5.51947049998474E+018,0,669336,312,559,559,5,0,0,0.37625,0.3762333333,2192.2289049982,275,559
7844.3235333333,7836.9127333333,0.7524833333,6.6583166667,true,DEFAULT-,-5.70648509535936E+017,0,672916,312,559,559,5,0,0,0.37625,0.3762333333,2192.2289049982,275,559
7844.3235333333,7836.9127333333,0.7524833333,6.6583166667,true,DEFAULT-,-5.8140322747927E+018,0,666440,312,559,559,5,0,0,0.37625,0.3762333333,2192.2289049982,277,559
,,,,,,,,,,,,,,,,,,,
7741.7001888889,7707.66745,29.6910833333,4.3416555556,0,0,-2.88403428114633E+017,0,679217.333333333,312.3333333333,559.3333333333,559.3333333333,5.6666666667,0.6666666667,0,14.8455351852,14.8455481481,2157.5055973893,277.8888888889,559.3333333333
