cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_accepted_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions,pickup_tardiness,delivery_tardiness,travel_distance,moved_vehicles,num_delivered_orders
7674.83265,7595.3303166667,73.72735,5.7749833333,true,DEFAULT-,5.51947049998474E+018,0,680080,313,560,560,0,0,0,36.8636166667,36.8637333333,2113.7745040015,280,560
7674.83265,7595.3303166667,73.72735,5.7749833333,true,DEFAULT-,-5.70648509535936E+017,0,678386,313,560,560,0,0,0,36.8636166667,36.8637333333,2113.7745040015,278,560
7674.83265,7595.3303166667,73.72735,5.7749833333,true,DEFAULT-,-5.8140322747927E+018,0,679910,313,560,560,0,0,0,36.8636166667,36.8637333333,2113.7745040015,281,560
7704.5000166667,7665.60825,38.8917666667,0,true,DEFAULT-,5.51947049998474E+018,0,680311,312,559,559,0,0,0,19.4458833333,19.4458833333,2154.276917001,280,559
7704.5000166667,7665.60825,38.8917666667,0,true,DEFAULT-,-5.70648509535936E+017,0,680155,312,559,559,0,0,0,19.4458833333,19.4458833333,2154.276917001,277,559
7704.5000166667,7665.60825,38.8917666667,0,true,DEFAULT-,-5.8140322747927E+018,0,680616,312,559,559,0,0,0,19.4458833333,19.4458833333,2154.276917001,278,559
7869.1189666667,7839.4383833333,29.6805833333,0,true,DEFAULT-,5.51947049998474E+018,0,675440,312,559,559,0,0,0,14.8401833333,14.8404,2194.5365389987,276,559
7869.1189666667,7839.4383833333,29.6805833333,0,true,DEFAULT-,-5.70648509535936E+017,0,680576,312,559,559,0,0,0,14.8401833333,14.8404,2194.5365389987,277,559
7869.1189666667,7839.4383833333,29.6805833333,0,true,DEFAULT-,-5.8140322747927E+018,0,673258,312,559,559,0,0,0,14.8401833333,14.8404,2194.5365389987,278,559
,,,,,,,,,,,,,,,,,,,
7749.4838777778,7700.12565,47.4332333333,1.9249944444,0,0,-2.88403428114633E+017,0,678748,312.3333333333,559.3333333333,559.3333333333,0,0,0,23.7165611111,23.7166722222,2154.1959866671,278.3333333333,559.3333333333
