cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_accepted_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions,pickup_tardiness,delivery_tardiness,travel_distance,moved_vehicles,num_delivered_orders
29057.6455166667,29055.0012166667,2.6443,0,true,DEFAULT-,5.51947049998474E+018,0,3552258,1251,2240,2240,2,0,0,1.32215,1.32215,8231.0107204769,1107,2240
29191.9636,29077.4701,114.4935,0,true,DEFAULT-,-5.70648509535936E+017,0,3551729,1251,2240,2240,1,1,0,57.2467666667,57.2467333333,8235.3591224763,1110,2240
29108.4587333333,29061.3855833333,47.07315,0,true,DEFAULT-,-5.8140322747927E+018,0,3553673,1251,2240,2240,1,1,0,23.5365833333,23.5365666667,8232.2532104763,1114,2240
29330.0284666667,29241.7306,70.5978833333,17.6999833333,true,DEFAULT-,5.51947049998474E+018,0,3557482,1251,2239,2239,0,0,0,35.2989333333,35.29895,8248.2464785684,1126,2239
29367.8116333333,29249.5459166667,100.5657333333,17.6999833333,true,DEFAULT-,-5.70648509535936E+017,0,3559005,1251,2239,2239,0,0,0,50.28285,50.2828833333,8249.9063065681,1131,2239
29369.6798333333,29251.4141166667,100.5657333333,17.6999833333,true,DEFAULT-,-5.8140322747927E+018,0,3557879,1251,2239,2239,1,0,0,50.28285,50.2828833333,8250.2241035682,1126,2239
29751.9307333333,29637.0887666667,99.8878166667,14.95415,true,DEFAULT-,5.51947049998474E+018,0,3527351,1251,2239,2239,2,0,0,49.9439,49.9439166667,8461.7354674977,1108,2239
29751.9307333333,29637.0887666667,99.8878166667,14.95415,true,DEFAULT-,-5.70648509535936E+017,0,3529038,1251,2239,2239,2,0,0,49.9439,49.9439166667,8461.7354674977,1113,2239
29762.989,29636.2083166667,102.4307166667,24.3499666667,true,DEFAULT-,-5.8140322747927E+018,0,3528154,1251,2239,2239,2,0,0,51.21535,51.2153666667,8462.1986974974,1104,2239
,,,,,,,,,,,,,,,,,,,
29410.2709166667,29316.3259314815,82.0162944444,11.9286907407,0,0,-2.88403428114633E+017,0,3546285.44444444,1251,2239.3333333333,2239.3333333333,1.2222222222,0.2222222222,0,41.0081425926,41.0081518519,8314.7410638474,1115.4444444445,2239.3333333333
