cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_accepted_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions,pickup_tardiness,delivery_tardiness,travel_distance,moved_vehicles,num_delivered_orders
15170.6314333333,14959.5024333333,191.66235,19.46665,true,DEFAULT-,5.51947049998474E+018,0,1110851,626,1120,1120,23,5,0,95.8311833333,95.8311666667,4176.5968899992,551,1120
15149.75385,14958.3384,171.9488,19.46665,true,DEFAULT-,-5.70648509535936E+017,0,1112913,626,1120,1120,22,4,0,85.9744333333,85.9743666667,4176.023244999,550,1120
15150.0601166667,14958.5405166667,172.05295,19.46665,true,DEFAULT-,-5.8140322747927E+018,0,1113639,626,1120,1120,23,4,0,86.0264666667,86.0264833333,4176.4818449991,556,1120
15079.6443,14942.3017833333,137.3425166667,0,true,DEFAULT-,5.51947049998474E+018,0,1120606,625,1119,1119,12,2,0,68.67125,68.6712666667,4230.3477114099,561,1119
15095.5249166667,14950.5516166667,144.9733,0,true,DEFAULT-,-5.70648509535936E+017,0,1118808,625,1119,1119,13,3,0,72.4866333333,72.4866666667,4231.9263004098,558,1119
15095.5249166667,14950.5516166667,144.9733,0,true,DEFAULT-,-5.8140322747927E+018,0,1116274,625,1119,1119,13,3,0,72.4866333333,72.4866666667,4231.9263004098,560,1119
15492.3960333333,15282.3087,210.0873333333,0,true,DEFAULT-,5.51947049998474E+018,0,1105519,625,1119,1119,18,3,0,105.0436666667,105.0436666667,4298.6979080023,552,1119
15492.3960333333,15282.3087,210.0873333333,0,true,DEFAULT-,-5.70648509535936E+017,0,1109549,625,1119,1119,19,3,0,105.0436666667,105.0436666667,4298.6979080023,548,1119
15567.0973,15293.0716666667,274.0256333333,0,true,DEFAULT-,-5.8140322747927E+018,0,1110005,625,1119,1119,19,4,0,137.0127833333,137.01285,4300.6483970024,548,1119
,,,,,,,,,,,,,,,,,,,
15254.7809888889,15064.163937037,184.1281685185,6.4888833333,0,0,-2.88403428114633E+017,0,1113129.33333333,625.3333333333,1119.3333333333,1119.3333333333,18,3.4444444444,0,92.0640796296,92.0640888889,4235.7051672482,553.7777777778,1119.3333333333
