cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_accepted_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions,pickup_tardiness,delivery_tardiness,travel_distance,moved_vehicles,num_delivered_orders
7618.35395,7594.5339333333,17.4783666667,6.34165,true,DEFAULT-,5.51947049998474E+018,0,459926,313,560,560,7,0,0,8.7391166667,8.73925,2115.2575635018,281,560
7618.3456166667,7594.5339333333,17.4700333333,6.34165,true,DEFAULT-,-5.70648509535936E+017,0,460686,313,560,560,7,0,0,8.73495,8.7350833333,2115.2575635018,278,560
7618.3456166667,7594.5339333333,17.4700333333,6.34165,true,DEFAULT-,-5.8140322747927E+018,0,460986,313,560,560,7,0,0,8.73495,8.7350833333,2115.2575635018,281,560
7776.45545,7689.0584333333,87.3970166667,0,true,DEFAULT-,5.51947049998474E+018,0,465714,312,559,559,5,2,0,43.6985166667,43.6985,2164.1659600011,278,559
7675.6629666667,7675.6629666667,0,0,true,DEFAULT-,-5.70648509535936E+017,0,463763,312,559,559,5,0,0,0,0,2159.0427430012,280,559
7675.6629666667,7675.6629666667,0,0,true,DEFAULT-,-5.8140322747927E+018,0,463728,312,559,559,5,0,0,0,0,2159.0427430012,278,559
7849.9564833333,7841.5915166667,1.7108166667,6.65415,true,DEFAULT-,5.51947049998474E+018,0,457863,312,559,559,5,0,0,0.8554166667,0.8554,2193.3884549982,275,559
7849.9523166667,7841.5915166667,1.7108166667,6.6499833333,true,DEFAULT-,-5.70648509535936E+017,0,457798,312,559,559,5,0,0,0.8554166667,0.8554,2193.3884549982,275,559
7849.9564833333,7841.5915166667,1.7108166667,6.65415,true,DEFAULT-,-5.8140322747927E+018,0,457072,312,559,559,5,0,0,0.8554166667,0.8554,2193.3884549982,277,559
,,,,,,,,,,,,,,,,,,,
7725.85465,7705.4178574074,16.1053222222,4.3314703704,0,0,-2.88403428114633E+017,0,460837.333333333,312.3333333333,559.3333333333,559.3333333333,5.6666666667,0.2222222222,0,8.0526425926,8.0526796296,2156.4655001671,278.1111111111,559.3333333333
