cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_accepted_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions,pickup_tardiness,delivery_tardiness,travel_distance,moved_vehicles,num_delivered_orders
6364.9105666667,6350.5328,14.3777666667,0,true,DEFAULT-,5.51947049998474E+018,0,474266,313,560,560,16,16,0,9.03305,5.3447166667,1736.8964540023,255,560
6353.1313333333,6337.8060166667,15.3253166667,0,true,DEFAULT-,-5.70648509535936E+017,0,476463,313,560,560,22,20,0,9.02055,6.3047666667,1732.3872430022,251,560
6379.3234833333,6356.8647166667,22.4587666667,0,true,DEFAULT-,-5.8140322747927E+018,0,481616,313,560,560,21,20,0,10.8089833333,11.6497833333,1738.1572940018,252,560
6570.3482666667,6563.50755,6.8407166667,0,true,DEFAULT-,5.51947049998474E+018,0,483495,312,559,559,27,21,0,4.9864833333,1.8542333333,1813.9869730021,256,559
6556.1055833333,6549.3749166667,6.7306666667,0,true,DEFAULT-,-5.70648509535936E+017,0,486962,312,559,559,33,26,0,4.7825333333,1.9481333333,1808.5156340018,256,559
6579.36915,6573.94365,5.4255,0,true,DEFAULT-,-5.8140322747927E+018,0,483122,312,559,559,29,24,0,4.0761333333,1.3493666667,1813.4267820015,255,559
6640.0364333333,6613.64185,26.3945833333,0,true,DEFAULT-,5.51947049998474E+018,0,493382,312,559,559,31,19,0,8.65365,17.7409333333,1820.0772869994,257,559
6694.71235,6667.0001666667,27.7121833333,0,true,DEFAULT-,-5.70648509535936E+017,0,485910,312,559,559,34,22,0,11.80485,15.9073333333,1834.6426529995,256,559
6693.3921666667,6646.5916833333,46.8004833333,0,true,DEFAULT-,-5.8140322747927E+018,0,482517,312,559,559,36,24,0,14.3378333333,32.46265,1829.9750599996,254,559
,,,,,,,,,,,,,,,,,,,
6536.8143703704,6517.6959277778,19.1184425926,0,0,0,-2.88403428114633E+017,0,483081.444444444,312.3333333333,559.3333333333,559.3333333333,27.6666666667,21.3333333333,0,8.611562963,10.5068796296,1792.0072644456,254.6666666667,559.3333333333
