cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_accepted_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions,pickup_tardiness,delivery_tardiness,travel_distance,moved_vehicles,num_delivered_orders
41667.5905833333,37485.50725,4169.60005,12.4832833333,true,DEFAULT-,5.51947049998474E+018,0,4568807,1251,2240,2240,0,0,0,2792.12895,1377.4711,10214.1823824003,1244,2240
41094.4039666667,37219.5096833333,3868.9026333333,5.99165,true,DEFAULT-,-5.70648509535936E+017,0,4503961,1251,2240,2240,0,0,0,2425.9191666667,1442.9834666667,10142.2380084872,1247,2240
40992.78875,37143.7227,3849.06605,0,true,DEFAULT-,-5.8140322747927E+018,0,4464384,1251,2240,2240,0,0,0,2503.10805,1345.958,10114.7132228934,1243,2240
41929.3621,37796.5252,4124.8035833333,8.0333166667,true,DEFAULT-,5.51947049998474E+018,0,4363668,1251,2239,2239,0,0,0,2658.7991166667,1466.0044666667,10163.1403377925,1250,2239
41647.5065333333,37678.88805,3968.6184833333,0,true,DEFAULT-,-5.70648509535936E+017,0,4626682,1251,2239,2239,0,0,0,2586.26185,1382.3566333333,10195.7756405417,1249,2239
41149.5693,37364.05835,3765.1859833333,20.3249666667,true,DEFAULT-,-5.8140322747927E+018,0,4375164,1251,2239,2239,0,0,0,2442.52005,1322.6659333333,10106.2135086924,1250,2239
42215.0740666667,37981.3501833333,4233.7238833333,0,true,DEFAULT-,5.51947049998474E+018,0,4680767,1251,2239,2239,0,0,0,2800.50265,1433.2212333333,10384.9053753556,1246,2239
41960.6572,37883.9290166667,4072.1657166667,4.5624666667,true,DEFAULT-,-5.70648509535936E+017,0,4489810,1251,2239,2239,0,0,0,2661.54125,1410.6244666667,10382.3746619456,1245,2239
41624.9425,37631.4460666667,3988.6881333333,4.8083,true,DEFAULT-,-5.8140322747927E+018,0,4700418,1251,2239,2239,0,0,0,2587.6442166667,1401.0439166667,10318.6686471826,1243,2239
,,,,,,,,,,,,,,,,,,,
41586.8772222222,37576.1040555556,4004.5282796296,6.244887037,0,0,-2.88403428114633E+017,0,4530406.77777778,1251,2239.3333333333,2239.3333333333,0,0,0,2606.4917,1398.0365796296,10224.6901983657,1246.3333333333,2239.3333333333
